Blekinge	 Karlskrona	 Karlskrona	 Blekingesjukhuset	 Apoteket Eken	 Grupp 7 (Vårdapoteket i Norden)
Blekinge	 Karlskrona	 Karlskrona	 Landbrogatan 4	 Apoteket Göta Lejon	 Grupp 5 (Medstop)
Blekinge	 Karlskrona	 Rödeby	 Movägen 4	 Apoteket Lärkan	 Grupp 1 (Apotek Hjärtat)
Blekinge	 Karlskrona	 Jämjö	 Hammarbyvägen 6	 Apoteket Orren	 Småföretagare
Blekinge	 Ronneby	 Ronneby	 Övre Brunnsvägen 2	 Apoteket Gripen	 Småföretagare
Blekinge	 Karlskrona	 Lyckeby	 Källevägen 12	 Apoteket Pantern	 Kvar i Apoteket AB
Blekinge	 Olofström	 Olofström	 Östra Storgatan 38	 Apoteket Svanen	 Grupp 1 (Apotek Hjärtat)
Blekinge	 Sölvesborg	 Sölvesborg	 Järnvägsgatan 5A	 Apoteket Eken	 Grupp 1 (Apotek Hjärtat)
Blekinge	 Ronneby	 Kallinge	 Kockumsvägen 32	 Apoteket Tre Nycklar	 Grupp 2 (Kronans Droghandel)
Blekinge	 Karlshamn	 Karlshamn	 Kungsgatan 42	 Apoteket Elefanten	 Grupp 2 (Kronans Droghandel)
Blekinge	 Karlshamn	 Karlshamn	 Länsmansvägen 1	 Apoteket Ugglan	 Kvar i Apoteket AB
Blekinge	 Ronneby	 Ronneby	 Hälsovägen 2	 Apoteket Snäckan	 Kvar i Apoteket AB
Dalarna	 Borlänge	 Borlänge	 Stationsgatan 4	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Dalarna	 Falun	 Falun	 Åsgatan 25	 Apoteket Vasen	 Grupp 2 (Kronans Droghandel)
Dalarna	 Borlänge	 Borlänge	 Borlänge sjukhus Bergebyvägen	 Apoteket Domherren	 Grupp 2 (Kronans Droghandel)
Dalarna	 Borlänge	 Borlänge	 Märkargatan 23 Kvarnsvedens vc	 Apoteket Falken	 Kvar i Apoteket AB
Dalarna	 Smedjebacken	 Smedjebacken	 Johan Ahlbäcks plats 8	 Apoteket Örnen	 Småföretagare
Dalarna	 Ludvika	 Ludvika	 Carlavägen 12	 Apoteket Liljan	 Kvar i Apoteket AB
Dalarna	 Ludvika	 Ludvika	 Lasarettet	 Apoteket Blåsippan	 Grupp 2 (Kronans Droghandel)
Dalarna	 Ludvika	 Sunnansjö	 Botbergsvägen 4	 Apoteket Mosippan	 Grupp 2 (Kronans Droghandel)
